objectid,description,date,author,title,language,location,keywords 1,keywords 2,keywords 3,keywords 4,keywords 5,keywords 6,keywords 7,keywords 8,keywords 9,keywords 10,keywords 11,keywords 12,keywords 13,keywords 14,keywords 15,keywords 16,keywords 17,keywords 18,keywords 19,keywords 20,keywords 21,keywords 22,keywords 23,keywords 24,keywords 25,keywords 26,keywords 27,keywords 28,keywords 29,keywords 30,keywords 31,keywords 32,keywords 33,keywords 34,keywords 35,keywords 36,keywords 37,keywords 38,keywords 39,keywords 40,keywords 41,keywords 42,keywords 43,keywords 44,keywords 45,keywords 46,keywords 47,keywords 48,keywords 49,keywords 50,keywords 51,keywords 52,keywords 53,keywords 54,keywords 55,keywords 56,keywords 57,keywords 58,keywords 59,keywords 60,keywords 61,keywords 62,keywords 63,keywords 64,keywords 65,keywords 66,keywords 67,keywords 68,keywords 69,keywords 70,keywords 71,keywords 72,keywords 73,keywords 74,keywords 75,keywords 76,keywords 77,keywords 78,keywords 79,keywords 80,keywords 81,keywords 82,keywords 83,keywords 84,keywords 85,keywords 86,keywords 87,keywords 88,keywords 89,keywords 90,keywords 91,keywords 92,keywords 93,keywords 94,keywords 95,keywords 96,keywords 97,keywords 98,keywords 99,keywords 100,keywords 101,keywords 102,keywords 103,keywords 104,keywords 105,keywords 106,keywords 107,keywords 108,keywords 109,keywords 110,keywords 111,keywords 112,keywords 113,keywords 114,keywords 115,keywords 116,keywords 117,keywords 118,keywords 119,keywords 120,keywords 121,keywords 122,keywords 123,keywords 124,keywords 125,keywords 126,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,format,Column,Column2,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0110,Journal Article,2021,"Barros, Hellen Chrystianne; Pinheiro, José Q.",Reflexões sobre a comunicação das mudanças climáticas e o cuidado ambiental: a visão de professores no contexto escolar,pt,Brasil,climate change,contexto escolar,cuidado ambiental,environmental care,environmental psychology,mudanças climáticas,professores,psicologia ambiental,school context,teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABSTRACT It is of utmost necessity to reflect on climate changes (CC). This human-environmental problem is global and with concrete projections of future intensification, directly associating with the need to promote sustainability. Thus, this study had as its purpose to comprehend the understanding held by teachers about CC communication in schools, specifically investigating how their school context addresses CC and environmental care (EC) to the students and how they see their students standing over these issues. Efforts like these are of extreme relevance, as one considers that these students will be future adults who will more strongly suffer the consequences of CC. The school becomes a fertile ground to discuss, stimulate and implement pro-sustainability actions of care and mitigation. Exploratory interviews with 11 teachers were carried out in both public and private schools. In summary, the teachers positively saw the student as willing to a pro-ecological engagement, highlighting the most needed family participation, the continuity of the projects, and the promotion of experiments with the local reality as means to stimulate behaviors and the building of beliefs, attitudes, and visions linked to the principles of sustainability. Such results provide a basis for the schools to (re)build projects of socio-environmental education, which take into account psychological dimensions that enable sustainable lifestyles, also considering global environmental issues.",Educar em Revista,,0104-4060,10.1590/0104-4060.78098,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602021000100806&lang=en,,,37,,,,,SciELO,,,/Users/juliabelden/Zotero/storage/LCN442DB/Barros and Pinheiro - 2021 - Reflexões sobre a comunicação das mudanças climáticas e o cuidado ambiental a visão de professores.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0111,Journal Article,2022,"Barbosa, Karina Gomes",Ser-menina e a imagem de Greta Thunberg na capa da revista Time,pt,Brasil,mídia,media,girls,greta thunberg,image,imagem,imagen,medios,meninas,niñas,representação,representación,representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract: I reflect on how certain contemporary representations enunciate the concept of girl. The objective is to turn feminist communication studies to a subject marginalized in feminisms, but considered crucial for human development, and to understand how these discourses build visibility regimes about girls. For this, I resort to a critical cultural analysis, combining the materiality of the image of environmental activist Greta Thunberg on the cover of Time magazine (May 2019) with the power relations that surround and/or involve her, with the analytical support of a digital flânerie of the activist’s networks. The theoretical framework is anchored in girlhood studies and feminist studies. Greta’s image seems to speak of the inconstancy of the girl’s epistemology, marked by fissures and traumas in representation, as well as the absence of other bodies, other girls, to enunciate it.",Revista Estudos Feministas,,0104-026X,10.1590/1806-9584-2022v30n276367,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2022000200300&lang=en,,2,30,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0112,Journal Article,2022,"Chacon-pereira, Alessandra; Neffa, Elza; Silva, Luciene Pimentel Da",System for the Evaluation of Environmental Education Projects focused on Water Resources Management (SAPEA-Água),en; pt,Brasil,educação ambiental,educación ambiental,environmental education,avaliação,evaluación,evaluation,gestão integrada de recursos hídricos,gestión integrada de recursos hídricos,indicadores,indicators,integrated water resources management,programas/ proyectos,programas/projetos,programs/projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract Given the increased risks of water crises faced by several countries, environmental education emerges as an instrument to help finding solutions to water-related issues, along with local communities and different sectors of society. However, studies have indicated the methodological vulnerability of environmental education programs/projects focused on water resources management. Thus, the current study developed the System for the Evaluation of Environmental Education Programs and Projects focused on Water Resources Management (SAPEA-Água). It adopted a qualitative-quantitative approach, based on the combination of bibliographic research and content analysis of documents substantiating environmental education, in order to evaluate the contextualization, interdisciplinarity, participation, sustainability, communication and self-assessment level of environmental education programs/projects. SAPEA-Água can substantiate the evaluation process, as well as increase the number, quality and effectiveness of environmental education programs/projects implemented in the water resources management context.",Ambiente & Sociedade,,1414-753X,10.1590/1809-4422asoc20210061r1vu2022l2oa,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2022000100315&lang=en,,,25,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0113,Journal Article,2023,"Oliveira, Uilians Vieira De; Costa, Rosangela Calado Da; Freitas, Juliana Gardenalli De",What Makes Risk Communication Efficient? The Stakeholder View Efficient,en; pt,Brasil,áreas contaminadas,comunicação de risco democrática,comunicação de risco técnica,comunicación democrática de riesgos,comunicación técnica de riesgos,contaminated sites,democratic risk communication,environmental legislation,legislação ambiental,legislación ambiental,q methodology,sitios contaminados,technical risk communication,técnica q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract Environmental risk communication comprises an essential step in contaminated sites management, being one of its basic principles. However, there are few studies and technical guidelines on how to perform risk communication. This research aimed to identify the main factors that can contribute to efficient risk communication from the stakeholders’ perspective: those affected or potentially affected by the risks, representatives of institutions responsible for risk communication, environmental agencies, and consultants. To achieve that, the Q technique, a methodology specialized in the study of people and their subjectivities, was applied to 24 individuals. Five factors representing the stakeholders’ perspectives were identified: 1 - Trust; 2 - Secure communication; 3 - Dialogue; 4 - Partnership; and 5 - Health, in addition to a set of consensual information between all groups. Concern for the health of those involved was the most important point of view for most participants. management principles However stakeholders perspective risks agencies consultants technique subjectivities individuals identified Trust Dialogue Partnership Health groups participants",Ambient. soc.,,1414-753X,10.1590/1809-4422asoc0061r1vu2023l3oa,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2023000100321&lang=en,,,26,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0114,Journal Article,2023,"Lima, Myrian Regina Del Vecchio De; Colatusso, Vanessa De Cássia Wistski; Valginhak, Débora Anzolin; Aires, Nataly Bruna Fernandes",Net-ativismo ambiental nas plataformas de petições online Avaaz.org e Change.org: algumas observações Netativismo Net ativismo Avaazorg Avaaz org Change.org Changeorg Change,pt; en,Brasil,activismo social y ambiental,ativismo socioambiental,avaaz,org avaazorg avaaz org,change,org changeorg change org,net activism,net activismo,netativismo,online petitions,peticiones en línea,petições online,social and environmental activism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract The intensive use of the Internet platforms establishes new perspectives on the social and political function of the media. This article focuses on the possibilities of alternative mobilizing actions, involving the participation of citizens around issues related to the conflicts of society and nature. We use the concept of net-activism (DI FELICE, 2012), with its features online network action. The objective is to highlight the role of the online platforms for forwarding public petitions of Avaaz.org and Change.org, the two most accessed platforms in Brazil, around social and environmental claims. After submitting the theoretical frameworks, we described the platforms, and selected 22 campaigns to perform an interpretative analysis, based on the arguments they use for demands and struggles, followed by a typology proposed by Castells (2018). In the end, it is possible to understand, even partially, the role of this social-environmental activism around online petitions. media actions nature netactivism net DI FELICE 2012, 2012 , 2012) action Avaazorg Avaaz org Changeorg Change Change.org Brazil claims frameworks 2 analysis struggles 2018. 2018 . (2018) end understand partially socialenvironmental 201 (2018 20 (201 (20 (2 (","Intercom, Rev. Bras. Ciênc. Comun.",,1809-5844,10.1590/1809-58442023105pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442023000100204&lang=en,,,46,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0115,Journal Article,2005,"Tomita, Nilce Emy; Padula, Niura Aparecida De Moura Ribeiro",Intoxicação por chumbo em crianças e o discurso da imprensa,pt,Brasil,mídia impressa,printed media,environment,meio ambiente,ação intersetorial,children,chumbo,crianças,intersectorial action,lead poisoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The finding and interdiction of a battery factory with high lead emission got massive media coverage in the city of Bauru (SP), in 2002, given the relevance of this issue to public health. Aiming at evaluating the publications in the press related to lead environmental contamination in a residential area, its repercussion on infantile health and the initiatives of government to face this subject, the present study has been delineated. The analysis of the press discourse is accomplished by the reading of news published in the year of 2002, using tools of qualitative analysis. Starting from the approach of the press on this sequence of events, this reflection represents a contribution to the elaboration of educational programs that focus on the care of the environment and its impact on public health.",Ciência & Saúde Coletiva,,1413-8123,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232005000500014&lang=pt,111-119,,10,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0116,Journal Article,2011,"Pinheiro, Leonardo Victor De Sá; Monteiro, Danielli Leite Campos; Guerra, Diego De Sousa; Peñaloza, Verônica",Transformando o discurso em prática: uma análise dos motivos e das preocupações que influenciam o comportamento pró-ambiental,pt,Brasil,educação ambiental,environmental education,ação,acción,action,behavior,comportamento,comportamiento,concerns,la educación ambiental,motives,motivos,preocupaciones,preocupações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Environmental education in the context of business schools, is still maturing, and its approach often subsumed into a single discipline and with little scientific production in the area. This study aims to analyze the environmental motives and concerns relate to the prospect of action by students of management in the face of practices environmental conservation. It was used as main concerns with the scale of the environmental consequences of Schultz (2001) and the scale of pro-environmental grounds by Thompson and Barton (1994). The research included the participation of 219 university students in a metropolitan area of northeastern Brazil, with data being worked with SPSS and Amos, version 18.0, modules descriptive statistics, nonparametric tests, confirmatory factor analysis, correlation and regression binary logistic. A negative correlation between the apathetic motives and biospheric concern, a positive correlation between ecocentric motives and biospheric concern and a positive correlation between the ecocentric motives and altruistic concerns. In turn, there was still a biosphere concern and ecocentric motives with a predisposition to action for environmental preservation. The results of this research can provide educators a direction that the memorandum ecocentric motives and biospheric concerns need to be encouraged, aimed at sensitizing students to transform the rhetoric in favor of the environment in practice. The relations found demonstrate important aspects of understanding human behavior in the face of environmental issues. For a better understanding of the relationships highlighted in this study, it is important to apply other instruments with different samples formed by students from other geographical regions, different courses and institutions of higher education.",RAM. Revista de Administração Mackenzie,,1678-6971,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712011000300005&lang=pt,83-113,3,12,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0117,Journal Article,2011,"Costa, Daniela Viegas Da; Teodósio, Armindo Dos Santos De Sousa","Desenvolvimento sustentável, consumo e cidadania: um estudo sobre a (des)articulação da comunicação de organizações da sociedade civil, do estado e das empresas",pt,Brasil,comunicación,cidadania,citizenship,ciudadanía,mobilização,mobilization,desenvolvimento sustentável,sustainable development,comunicação social,consumo sostenible,consumo sustentável,desarrollo sostenible,movilización,social communication,sustainable consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The consumption in contemporary plays different functions and involves multiple references as a social construction, but, in the current patterns, is untenable, both from the environmental perspective as the construction of rights and citizenship. To understand the challenges of building actions and policies that renew consumer practices, this article discusses the answers to the dilemmas of consumption are built by civil society actors, state and market. Sustainable consumption becomes one of the possibilities of the impacts of consumption, because it involves changes in attitude coupled with the need for transformation of the attitudes and values of citizens. Although not yet observed the predominance of a new civilization model capable of overcoming the dilemmas of consumer society, there are alternatives to promote sustainability. This effort would suggest connections between different groups, whether government, civil society and market, to meet the demands of the population and adopt good practices of sustainable production and consumption, through political action and citizenship. In empirical research, qualitative approach with interviews and descriptive analysis, it was noted that communication for the construction of discourses and practices politically correct for the consumption by the actors researched to make it sustainable does not always explain the complex relationship that involves the environment in public sphere. Very present in the business reports, sustainable development is not perceived in everyday organizational practice. In this context, is different dramas unfold and intrigues of social and environmental citizenship, which may give new meaning to the struggles in the field of environmental consumption, as well as cover up the traps that a speech environmentally correct, but politically weak.",RAM. Revista de Administração Mackenzie,,1678-6971,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-69712011000300006&lang=pt,114-145,3,12,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0118,Journal Article,2012,"Wenceslau, Juliana; Antezana, Natalia Latino; Calmon, Paulo Du Pin",Políticas da Terra: existe um novo discurso ambiental pós Rio +20?,pt,Brasil,desenvolvimento sustentável,sustainable development,discurso ambiental,economia verde,environmental discourse,environmental policy,green economy,política ambiental,rio+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public policy involves the search for meaning through discourses that are complex semantic systems, expressing different perspectives, concepts and assumptions. This paper aims to contribute to the current dialogue concerning recent environmental policies, inquiring as to what extent the debates that took place at Rio + 20 break away from the dominant environmental discourses of the last 40 years. These predominant discourses are: survivalism, problem solving, sustainability and green radicalism. They differ on their ontology (realist or nominalist), their assumptions regarding natural relationships (competition or cooperation), agents and their mot ives (individuals or collectivities, strong or weak) and the key metaphors and other rhetorical devices used to defend their positions (DRYZEK, 1997). Some questions are also asked in order to evaluate the impact and feasibility of the discourse: policies associated with discourse, effect on the policy of governments, the effect on institutions, arguments of critics and flaws revealed by evidence and argument. These analytical devices were applied to the final document of the conference ""The Future We Want"" to appraise the Rio +20 discourse. We conclude that two prior discourses can be included in the conference debates: problem solving and sustainability. Some anticipated effects of Rio +20 are: improvement of environmental statistics; increased number of green economy jobs; and public policies that change the relative prices of using natural resources and internalizing the costs of environmental externalities.",Cadernos EBAPE.BR,,1679-3951,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300008&lang=pt,584-604,3,10,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0119,Journal Article,2012,"Guimarães, Roberto; Fontoura, Yuna","Desenvolvimento sustentável na Rio+20: discursos, avanços, retrocessos e novas perspectivas",pt,Brasil,discurso,discourse,desenvolvimento sustentável,sustainable development,agenda ambiental global,global environmental agenda,perspectivas,prospects,rio+20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Four decades after the Stockholm Conference on the Human Environment, and just a few months after Rio+20, this paper aims to deepen the path followed by the global agenda of sustainable development, since Rio+92 until the challenges, mostly frustrated, faced by the conference recently held in Rio de Janeiro. For this purpose, the advances and regressions in this agenda were identified, as well as the preparatory process, the results achieved in Rio+20 and the threats posed by the new global environmental agenda. The methodology adopted has a qualitative focus, by using a discourse approach with regard to the first stage of data analysis and a correlation between the work by Jared Diamond, 2006, and Rio+20, as a complementary phase. The paper concludes that the discourses of food security, deficient gross domestic product (GDP), scientific credibility, green economy, and the private sector importance for sustainable development stood out during the 2012 summit. Furthermore, analyzing the prospects of the international agenda in the coming years, the paper concludes that the world faces nowadays a clearly political deficit with regard to the implementation of decisions which have already been repeatedly adopted. In other words, the major challenge for sustainable development today is the inability of specific actors, clearly identifiable, to take concrete actions.",Cadernos EBAPE.BR,,1679-3951,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512012000300004&lang=pt,508-532,3,10,,,,,SciELO,,,"/Users/juliabelden/Zotero/storage/SXVCMB4B/Guimarães and Fontoura - 2012 - Desenvolvimento sustentável na Rio+20 discursos, avanços, retrocessos e novas perspectivas.pdf",,record,,,,,,,,,,,,,,,,,,,,,,
db0120,Journal Article,2013,"Reginato, Gisele Dotto; Amaral, Márcia Franz",O bem-viver contemporâneo em revistas: uma análise do tensionamento entre consumo e simplicidade no discurso da Vida Simples,pt,Brasil,journalism,jornalismo,análise de discurso,consumo,consumption,discourse analysis,magazine,revista,simplicidade,simplicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Simple Life] - This paper analyzes the balance between consumerism and simplicity in the discourse of the magazine Vida Simples, published by Editora Abril. The setting of this issue is the construction of contemporary well-being in magazines - the context in which journalism creates new standards of style and normality. We understand that the magazine Vida Simples proposes a simplified life that advocates a reduction in consumerism. In contrast, however, the way to a simpler life offered to society is through consumerism as a form of identity construction. Using the theoretical and methodological contribution of the French school of discourse analysis, we find that the magazine's discourse is balanced between the incitement of individualistic consumption, consumption that considers the environment, and politicized consumption, whose discourse is laced with ideological disputes.",Galáxia (São Paulo),,1982-2553,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532013000200016&lang=pt,180-192,25,13,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0121,Journal Article,2013,"Fontenelle, Isleide A.",A resignificação da crise ambiental pela mídia de negócios: responsabilidade empresarial e redenção pelo consumo,pt,Brasil,consumo responsável,crise ambiental,culpa,environmental crisis,guilt,redemption,redenção,responsabilidade social corporativa,responsible consumption,social corporate responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This article examines how the environmentally responsible consumer has been 'produced' by the business media, based on an analysis of two magazines in the period of 1996-2007: Britain's The Economist and Brazil's Exame. The research method is based on the Discourse Theory founded by Ernesto Laclau and Chantal Mouffe and on Lacanian authors who adopted this theory. An empirical analysis, underpinned by a bibliographic review of the relationships between environmental crisis, consumption and social corporate responsibility, allows us to conclude that the media's construction of the responsible consumer exploits the notion of culpability in the discourse of the environmental crisis to peddle redemption as a commodity.",Galáxia (São Paulo),,1982-2553,,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-25532013000300011&lang=pt,135-147,26,13,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0122,Journal Article,2018,"Silva, Mauro Henrique Soares; Passos, Messias Modesto",DISCURSO DE A(U)TORES DA PAISAGEM DO PANTANAL DA NHECOLÂNDIA,pt,Brasil,cultura,culture,entretiens semi-directifs,entrevistas-semidirigidas,pantaneiro,semi-directed interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABSTRACT The inclusion of the analysis of feelings in the environmental approach reflects the different views regarding the landscape of a Territory. Thus, with a methodology based on semi-directed interviews, applied to the pantaneiros, inhabitants of the Pantanal for over twenty years, this study aimed, through discourse analysis, to understand the interactions between the authors/actors of the Pantanal landscape and nature, especially with the elements that make up the landscape of the Pantanal of Nhecolândia. The results showed a proximity, awareness and intimate relationship in view of the environmental importance of the area and the elements of the landscape, as well as detecting signs of a relationship leading to the prominence of a cultural conflict between pantaneiros and the new landowners in the Pantanal of Nhecolândia.",Mercator (Fortaleza),,1984-2201,10.4215/rm2018.e17015,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-22012018000100215&lang=pt,,,17,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0123,Journal Article,2024,"Medeiros, Priscila Muniz De; Salles, Débora; Magalhães, Thamyres; Melo, Bianca; Santini, Rose Marie",Greenwashing e Desinformação: A Publicidade Tóxica do Agronegócio Brasileiro nas Redes,en,Brasil,greenwashing,anti-environmental lobby,desinformação,digital advertising,disinformation,frente parlamentar da agropecuária,lobby anti-ambiental,publicidade digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract Agribusiness, a cornerstone of Brazil’s economic sectors, wields considerable political clout through entities like the Frente Parlamentar da Agropecuária (Parliamentary Agricultural Front; FPA), a potent force in the country’s Congress and appears to be the main driver of the anti-environmental lobby. The FPA sought to influence labour, land and tax legislation and was an important ally of Jair Bolsonaro’s administration, aligning closely with the former president’s agenda of environmental deregulation, which mirrored the economic priorities of agribusiness interests. However, the imperative to maintain a favourable public perception of the agricultural sector is evident in various communication strategies, including the deployment of paid advertisements on online platforms. In this sense, the objective of this research is to scrutinise the potential presence of greenwashing and/or disinformation within the 158 advertisements disseminated by the FPA on Facebook and Instagram throughout 2023. Using Meta’s Ad Library interface, we collected the advertisements and employed three complementary analytical approaches. These methodologies enabled us to identify and interpret the discursive tactics employed by the FPA to “enhance the image of agriculture”: automatic word counting and cooccurrence analysis, content analysis and discourse analysis. The advertisements analysed show that Brazilian agribusiness uses sustainability as a form of greenwashing and disinformation in its online communication efforts. The FPA’s digital advertising uses these discursive strategies to vilify social movements advocating for land reform and instigate fear regarding legal uncertainties surrounding property rights. Our findings indicate that these advertisements advocate for the preservation of the current socio-economic landscape in the Brazilian rural area while propagating denialism regarding the environmental impacts of agribusiness.",Comunicação e Sociedade,,2183-3575,10.17231/comsoc.45(2024).5417,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S2183-35752024000102003&lang=pt,,,45,,,,,SciELO Portugal,,,; ; /Users/juliabelden/Zotero/storage/4V73NQRR/Medeiros et al. - 2024 - Greenwashing e Desinformação A Publicidade Tóxica do Agronegócio Brasileiro nas Redes.pdf,http://www.scielo.mec.pt/pdf/csoc/v45/2183-3575-csoc-45-e024008.pdf; http://www.scielo.mec.pt/pdf/csoc/v45/en_2183-3575-csoc-45-e024008.pdf,record,,,,,,,,,,,,,,,,,,,,,,
db0124,Journal Article,2023,"Juliano, Tiago; Fassina, Caroline Malagutti; Silva, Cristina Isis Buck; Andrade, Francisco Alcicley Vasconcelos; Leão Neto, Edson Pereira De Souza",Conviviality and sustainability: Case studies on the governance of natural resources in Brazil sustainability,en; pt,Brasil; Italy,sustainability,sustentabilidad,sustentabilidade,natural resources,recursos naturais,recursos naturales,convivencialidade,convivialidad,conviviality,gobernanza,governança,governance,hiper mercantilización,hipermercantilização,hyper commodification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract The multiscale nature of the environmental crisis brings together scientific and political mechanisms that converge on a common discursive axis: sustainability. This text contrasts vernacular and modern meanings of the commons and suggests conviviality as a counterpoint to the dilemmas posed by nature’s hypercommodification. Based on fieldwork, it describes governance parameters in the meliponiculture chain and the fishery management of pirarucu (Arapaima spp.) in the Amazon and the palm heart harvesting (Euterpe edulis) in the Atlantic Forest areas. It explores particularities in these resources’ governance as it aims to highlight possibilities and limitations to conviviality provided by these activities. For the cases studied, the convivial perspective is limited to cooperativism directed by the market. Still, a communal sense taken back as a principle for political action can offer broader horizons for the sustainability of governance. axis natures s hypercommodification fieldwork Arapaima spp. spp Euterpe edulis areas resources activities studied market Still",Ambiente & Sociedade,,1414-753X,10.1590/1809-4422asoc2022022r1vu2023l4oa,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2023000100330&lang=pt,,,26,,,,,SciELO,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0125,Journal Article,2023,"Pedrini, Jociene Carla Bianchini Ferreira; Pedrini, Igor Aparecido Dallaqua; Portar, Rodrigo Daniel Levoti; Almeida, Cristóvão Domingos De",Jornalismo ambiental e Cidadania: apontamentos sobre as queimadas na Amazônia Cidadania,pt; en,Brasil,environment,meio ambiente,discourse analysis,amazônia,environmental journalism,jornalismo ambiental,medio ambiente,periodismo ambiental,amazon,amazonas,análise do discurso,análisis del discurso,fires,incendios,incêndios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abstract This article aims to reflect on the speeches present on the covers of the newspapers Estado de Minas and Extra about the fires that occurred in the Amazon region in August 2019. In this sense, based on the principles of environmental journalism and the events, the information gained repercussions, with a provocative and questioning potential of how public agents and citizens relate to the environment. From the textual discursive analysis, we show that the analyzed journals bring elements that problematize the relationship between human beings and environmental issues and encourage them to change behaviors in a conscious and engaged manner. 2019 sense events repercussions environment analysis manner 201 20 2","Intercom, Rev. Bras. Ciênc. Comun.",,1809-5844,10.1590/1809-58442023132pt,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442023000100233&lang=pt,,,46,,,,,SciELO,,,/Users/juliabelden/Zotero/storage/IXG8LYTG/Pedrini et al. - 2023 - Jornalismo ambiental e Cidadania apontamentos sobre as queimadas na Amazônia.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
